"IsoCode","CountriesInHolyLoggerDictionary","ReasonNotUsed"
"ag","Antigua & Barbuda","Mapped country name(s) not present in prefix mapping output"
"as","","ISO PNG exists but no country entry in DxccNameToIso dictionary"
"ba","Bosnia-Herzegovina","Mapped country name(s) not present in prefix mapping output"
"bn","Brunei Darussalam","Mapped country name(s) not present in prefix mapping output"
"cd","Dem. Rep. Of Congo","Mapped country name(s) not present in prefix mapping output"
"cf","Central Africa","Mapped country name(s) not present in prefix mapping output"
"ci","Cote d'Ivoire","Mapped country name(s) not present in prefix mapping output"
"ck","","ISO PNG exists but no country entry in DxccNameToIso dictionary"
"de","Fed. Rep. of Germany","Mapped country name(s) not present in prefix mapping output"
"do","Dominican Republic","Mapped country name(s) not present in prefix mapping output"
"fk","Falkland Is.","Mapped country name(s) not present in prefix mapping output"
"fo","Faroe Is.","Mapped country name(s) not present in prefix mapping output"
"gi","Gibraltar","Mapped country name(s) not present in prefix mapping output"
"gl","Greenland","Mapped country name(s) not present in prefix mapping output"
"gm","The Gambia","Mapped country name(s) not present in prefix mapping output"
"gu","Guam","Mapped country name(s) not present in prefix mapping output"
"hk","Hong Kong","Mapped country name(s) not present in prefix mapping output"
"im","Isle of Man","Mapped country name(s) not present in prefix mapping output"
"je","Jersey","Mapped country name(s) not present in prefix mapping output"
"kg","Kyrgystan","Mapped country name(s) not present in prefix mapping output"
"ki","Banaba I. (Ocean I.); C. Kiribati (British Phoenix Is.); E. Kiribati (Line Is.); W. Kiribati (Gilbert Is. )","Mapped country name(s) not present in prefix mapping output"
"kn","St. Kitts & Nevis","Mapped country name(s) not present in prefix mapping output"
"kp","North Korea","Mapped country name(s) not present in prefix mapping output"
"kr","South Korea","Mapped country name(s) not present in prefix mapping output"
"ky","Cayman Is.","Mapped country name(s) not present in prefix mapping output"
"lc","St. Lucia","Mapped country name(s) not present in prefix mapping output"
"li","Liechtenstein","Mapped country name(s) not present in prefix mapping output"
"mh","Marshall Is.","Mapped country name(s) not present in prefix mapping output"
"mm","Myanmar","Mapped country name(s) not present in prefix mapping output"
"mo","Macao","Mapped country name(s) not present in prefix mapping output"
"mp","Mariana Is.","Mapped country name(s) not present in prefix mapping output"
"ms","Montserrat","Mapped country name(s) not present in prefix mapping output"
"nc","Chesterfield Is.; New Caledonia","Mapped country name(s) not present in prefix mapping output"
"nf","Norfolk I.","Mapped country name(s) not present in prefix mapping output"
"pf","French Polynesia","Mapped country name(s) not present in prefix mapping output"
"pr","Desecheo I.; Puerto Rico","Mapped country name(s) not present in prefix mapping output"
"re","Reunion","Mapped country name(s) not present in prefix mapping output"
"sb","Solomon Is.; Temotu Province","Mapped country name(s) not present in prefix mapping output"
"sh","Ascension I.; St. Helena","Mapped country name(s) not present in prefix mapping output"
"sk","Slovak Republic","Mapped country name(s) not present in prefix mapping output"
"sm","","ISO PNG exists but no country entry in DxccNameToIso dictionary"
"sr","Suriname","Mapped country name(s) not present in prefix mapping output"
"tc","Turks & Caicos Is.","Mapped country name(s) not present in prefix mapping output"
"tl","East Timor","Mapped country name(s) not present in prefix mapping output"
"tw","Pratas; Taiwan","Mapped country name(s) not present in prefix mapping output"
"us","Alaska; Hawaii; United States of America","Mapped country name(s) not present in prefix mapping output"
"vc","St. Vincent","Mapped country name(s) not present in prefix mapping output"
"vg","British Virgin Is.","Mapped country name(s) not present in prefix mapping output"
"vi","Virgin Is.","Mapped country name(s) not present in prefix mapping output"
"wf","Wallis & Futuna Is.","Mapped country name(s) not present in prefix mapping output"
"ws","Western Samoa","Mapped country name(s) not present in prefix mapping output"
"za","South Africa","Mapped country name(s) not present in prefix mapping output"
